TABLEU,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON,WINNER
16,31,22, CANADA,0.0,1.0,20,476, SINGAPORE,0.0,1.0,0.0
16,41,202, HUNGARY,0.0,1.0,23,8, CANADA,1.0,1.0,1.0
16,25,89, BRAZIL,1.0,1.0,24,102, MEXICO,0.0,1.0,1.0
16,28,86, MEXICO,0.0,1.0,41,9999999, UKRAINE,0.0,1.0,1.0
8,36,270, HUNGARY,0.0,1.0,20,517, SINGAPORE,0.0,1.0,0.0
8,28,118, VENEZUELA,0.0,1.0,27,65, UKRAINE,1.0,1.0,1.0
8,31,22, CANADA,0.0,1.0,23,8, CANADA,1.0,1.0,1.0
8,24,102, MEXICO,0.0,1.0,41,9999999, UKRAINE,0.0,1.0,1.0
4,36,270, HUNGARY,0.0,1.0,27,65, UKRAINE,1.0,1.0,0.0
4,23,8, CANADA,1.0,1.0,41,9999999, UKRAINE,0.0,1.0,0.0
2,36,270, HUNGARY,0.0,1.0,23,8, CANADA,1.0,1.0,1.0
32,28,1, UKRAINE,0.0,0.0,31,48, ITALY,0.0,0.0,1.0
32,33,39, ARGENTINA,1.0,1.0,31,9999999, RUSSIA,0.0,0.0,1.0
32,30,9, USA,1.0,0.0,25,54, KOREA,0.0,0.0,1.0
32,29,9999999, RUSSIA,0.0,0.0,28,12, ITALY,1.0,0.0,0.0
32,23,65, ITALY,0.0,0.0,23,127, FRANCE,1.0,0.0,1.0
32,29,23, ITALY,0.0,0.0,22,119, BELARUS,1.0,0.0,0.0
32,28,34, SPAIN,0.0,0.0,29,20, GERMANY,0.0,1.0,0.0
32,31,169, AZERBAIJAN,1.0,0.0,35,240, POLAND,0.0,0.0,0.0
32,28,9999999, CHINA,0.0,0.0,24,15, ITALY,1.0,0.0,0.0
32,28,92, UKRAINE,0.0,0.0,36,40, USA,0.0,0.0,1.0
32,30,8, KOREA,1.0,0.0,26,9999999, UKRAINE,0.0,0.0,0.0
32,26,19, CHINA,0.0,0.0,25,6, RUSSIA,1.0,0.0,0.0
32,23,3, HUNGARY,0.0,0.0,27,9999999, USA,1.0,0.0,0.0
32,27,88, RUSSIA,0.0,0.0,28,33, TUNISIA,0.0,0.0,0.0
32,30,17, FRANCE,0.0,0.0,34,64, RUSSIA,0.0,0.0,0.0
32,25,18, UKRAINE,0.0,0.0,33,2, RUSSIA,0.0,0.0,1.0
16,31,48, ITALY,0.0,0.0,31,9999999, RUSSIA,0.0,0.0,0.0
16,25,54, KOREA,0.0,0.0,29,9999999, RUSSIA,0.0,0.0,1.0
16,23,127, FRANCE,1.0,0.0,29,23, ITALY,0.0,0.0,0.0
16,28,34, SPAIN,0.0,0.0,31,169, AZERBAIJAN,1.0,0.0,1.0
16,28,9999999, CHINA,0.0,0.0,36,40, USA,0.0,0.0,0.0
16,30,8, KOREA,1.0,0.0,26,19, CHINA,0.0,0.0,0.0
16,23,3, HUNGARY,0.0,0.0,27,88, RUSSIA,0.0,0.0,1.0
16,30,17, FRANCE,0.0,0.0,33,2, RUSSIA,0.0,0.0,1.0
8,31,48, ITALY,0.0,0.0,29,9999999, RUSSIA,0.0,0.0,1.0
8,23,127, FRANCE,1.0,0.0,31,169, AZERBAIJAN,1.0,0.0,1.0
8,28,9999999, CHINA,0.0,0.0,30,8, KOREA,1.0,0.0,0.0
8,27,88, RUSSIA,0.0,0.0,33,2, RUSSIA,0.0,0.0,1.0
4,29,9999999, RUSSIA,0.0,0.0,31,169, AZERBAIJAN,1.0,0.0,0.0
4,28,9999999, CHINA,0.0,0.0,33,2, RUSSIA,0.0,0.0,0.0
2,29,9999999, RUSSIA,0.0,0.0,28,9999999, CHINA,0.0,0.0,1.0
32,35,9999999, RUSSIA,1.0,0.0,34,20, IRAN,0.0,0.0,0.0
32,25,23, GEORGIA,0.0,0.0,30,28, UKRAINE,0.0,0.0,0.0
32,40,29, ITALY,0.0,0.0,24,18, KOREA,0.0,0.0,0.0
32,36,52, HUNGARY,0.0,0.0,29,59, GEORGIA,0.0,0.0,0.0
32,33,10, FRANCE,0.0,0.0,31,87, ITALY,0.0,0.0,1.0
32,23,33, USA,1.0,0.0,32,9999999, RUSSIA,0.0,0.0,1.0
32,25,31, GERMANY,0.0,0.0,34,75, KAZAKHSTAN,0.0,0.0,0.0
32,25,8, HUNGARY,0.0,0.0,30,27, ROMANIA,0.0,0.0,1.0
32,29,2, KOREA,0.0,0.0,29,9999999, SPAIN,0.0,0.0,0.0
32,30,127, ITALY,0.0,0.0,28,206, USA,0.0,0.0,0.0
32,36,17, FRANCE,0.0,0.0,30,244, BELGIUM,0.0,0.0,0.0
32,32,32, HUNGARY,0.0,0.0,28,4, HUNGARY,0.0,0.0,1.0
32,29,9, GERMANY,0.0,0.0,30,260, ITALY,0.0,0.0,0.0
32,28,19, GERMANY,0.0,0.0,33,9999999, GERMANY,0.0,0.0,0.0
32,37,509, ITALY,0.0,0.0,31,11, ITALY,1.0,0.0,0.0
32,23,1, USA,1.0,0.0,35,3, KOREA,0.0,0.0,1.0
16,35,9999999, RUSSIA,1.0,0.0,25,23, GEORGIA,0.0,0.0,0.0
16,40,29, ITALY,0.0,0.0,36,52, HUNGARY,0.0,0.0,0.0
16,31,87, ITALY,0.0,0.0,32,9999999, RUSSIA,0.0,0.0,1.0
16,25,31, GERMANY,0.0,0.0,30,27, ROMANIA,0.0,0.0,1.0
16,29,2, KOREA,0.0,0.0,30,127, ITALY,0.0,0.0,0.0
16,36,17, FRANCE,0.0,0.0,28,4, HUNGARY,0.0,0.0,1.0
16,29,9, GERMANY,0.0,0.0,28,19, GERMANY,0.0,0.0,1.0
16,37,509, ITALY,0.0,0.0,35,3, KOREA,0.0,0.0,0.0
8,35,9999999, RUSSIA,1.0,0.0,40,29, ITALY,0.0,0.0,1.0
8,32,9999999, RUSSIA,0.0,0.0,30,27, ROMANIA,0.0,0.0,1.0
8,29,2, KOREA,0.0,0.0,28,4, HUNGARY,0.0,0.0,1.0
8,28,19, GERMANY,0.0,0.0,37,509, ITALY,0.0,0.0,0.0
4,40,29, ITALY,0.0,0.0,30,27, ROMANIA,0.0,0.0,0.0
4,28,4, HUNGARY,0.0,0.0,28,19, GERMANY,0.0,0.0,0.0
