,ID,TABLEU,C1_ID,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_ID,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON,RESULT_C1,RESULT_C2
124,2019-186,32,Shaul-GORDON-25917,24,24, CANADA,0.0,0.0,Gunnar_Egill-AGUSTSSON-21217,26,379, ICELAND,0.0,0.0, V/15,  D/6
125,2019-186,32,Andrew-RICHARDSON-45984,19,346, PUERTO RICO,1.0,0.0,Zachary-HAMILTON-40727,19,305, GREAT BRITAIN,0.0,0.0, D/9,  V/15
126,2019-186,32,Josip-BRAJDIC-32600,22,324, CROATIA,0.0,0.0,Charles-GELLETT-42112,22,341, GREAT BRITAIN,0.0,0.0, V/15,  D/14
127,2019-186,32,Kjartan_Oli-AGUSTSSON-41557,16,371, ICELAND,0.0,0.0,Mateusz-KNEZ-33850,21,282, POLAND,0.0,0.0, D/9,  V/15
128,2019-186,32,Jakub-JASKOT-30035,23,200, POLAND,0.0,0.0,Konstantin-BONFELD-40398,40,366, ISRAEL,0.0,0.0, V/15,  D/3
129,2019-186,32,Magnus-DE_WITT-45731,30,358, GERMANY,0.0,0.0,Teddy-WELLER-15297,29,78, VIRGIN ISLANDS,0.0,0.0, D/9,  V/15
130,2019-186,32,Jonah-SHAINBERG-30258,22,176, USA,0.0,0.0,Jadryn-DICK-32713,23,306, AUSTRALIA,0.0,0.0, V/15,  D/9
131,2019-186,32,Hilmar-HEIDDAL-41556,16,379, ICELAND,0.0,0.0,Alberto-ARPINO-35850,20,189, ITALY,0.0,0.0, D/4,  V/15
132,2019-186,16,Stefano_Ivan-LUCCHETTI-29223,21,53, ARGENTINA,0.0,0.0,Francesco-DARMIENTO-24278,24,119, ITALY,0.0,0.0, V/15,  D/7
133,2019-186,16,Philip-PITURA-31841,22,318, CANADA,0.0,0.0,Grant-WILLIAMS-34354,22,148, USA,1.0,0.0, D/14,  V/15
134,2019-186,16,Brynmor-SAUNDERS-31317,24,210, GREAT BRITAIN,0.0,0.0,Michael-JACOB-41413,26,326, IRELAND,0.0,0.0, V/15,  D/6
135,2019-186,16,Nicolaus-BENEDICT-39013,18,288, AUSTRIA,0.0,0.0,Andri_Nikolaysson-MATEEV-34580,18,315, ICELAND,0.0,0.0, V/15,  D/13
136,2019-186,16,Shaul-GORDON-25917,24,24, CANADA,0.0,0.0,Zachary-HAMILTON-40727,19,305, GREAT BRITAIN,0.0,0.0, V/15,  D/5
