,ID,Edad,FieRanking,Nacionalidad,Mano,Arma
2121,Faruk_Ziya-AKGUMUS-36567,21,9999999, TURKEY, Right, Foil 
2122,Farzad-BAHER_ARESBARAN-22599,25,98, IRAN, Right, Sabre 
2123,Fatih-GUNES-31850,22,744, TURKEY, Left, Foil 
2124,Fatim_Abolayo_Ange_Karel-ODOKA-43424,19,9999999, COTE D'IVOIRE, Right, Epée 
2125,Fatima-IBRAHIMOVA-25398,21,9999999, AZERBAIJAN, Left, Sabre 
2127,Fatima-TOBAR-16774,30,9999999, EL SALVADOR, Left, Sabre 
2128,Fatima-ZHONKINA-35718,22,623, RUSSIA, Right, Epée 
2129,Fatma-SETHOM-37446,20,71, TUNISIA, Left, Foil 
2130,Fatma_Zehra-KOSE-32892,21,257, TURKEY, Right, Sabre 
2131,Fatmanur-GULEN-36591,19,9999999, TURKEY, Right, Foil 
2132,Fatou-COLY-37463,23,9999999, SENEGAL, Right, Epée 
2133,Fatou_Kine-FAYE-34512,27,298, SENEGAL, Left, Sabre 
2134,Faustine-BARBIER-46335,17,9999999, FRANCE, Left, Epée 
2135,Faustine-CLAPIER-45469,17,450, FRANCE, Right, Sabre 
2136,Fayzulla-ALIMOV-34991,20,56, UZBEKISTAN, Right, Epée 
2137,Federica-ISOLA-35125,19,49, ITALY, Right, Epée 
2138,Federica-LAVA-30063,23,9999999, ITALY, Right, Foil 
2139,Federica-SANTANDREA-24235,25,691, ITALY, Right, Epée 
2140,Federico-BARALDI-30616,23,9999999, ITALY, Right, Foil 
2141,Federico-BOLLATI-4383,40,9999999, ITALY, Left, Epée 
2142,Federico-CANCHEZ_SIFUENTES-30988,23,165, PERU, Left, Epée 
2143,Federico-DE_ROBBIO-36365,20,422, CROATIA, Right, Sabre 
2144,Federico-GUERRA-43172,19,9999999, ITALY, Right, Epée 
2145,Federico-MARENCO-37712,20,356, ITALY, Right, Epée 
2146,Federico-PISTORIO-38853,18,9999999, ITALY, Right, Foil 
2147,Federico-RICCARDI-30168,21,506, ITALY, Right, Sabre 
2148,Federico-VISMARA-32919,21,47, ITALY, Right, Epée 
2149,Federico-VOLPI-38912,20,9999999, ITALY, Right, Epée 
2150,Federico_Guillermo-MULLER-19364,30,9999999, ARGENTINA, Left, Foil 
2151,Felipe-ALVEAR-11551,33,141, CHILE, Left, Foil 
2152,Felipe-GONZALEZ-43270,18,9999999, CHILE, Right, Epée 
2153,Felipe-VILLALOBOS-44242,19,530, COSTA RICA, Right, Epée 
2154,Felipe_Guillermo-SAUCEDO-18432,30,164, ARGENTINA, Left, Epée 
2155,Felix-BLOMMAERT-31691,20,487, BELGIUM, Right, Epée 
2156,Felix-FRAS-25879,25,9999999, POLAND, Right, Epée 
2157,Felix-KLEIN-30562,23,148, GERMANY, Right, Foil 
2158,Feng_Ming-OU-10547,31,120, CHINESE TAIPEI, Right, Foil 
2159,Ferdinand-ELIASSEN-31715,20,527, NORWAY, Right, Epée 
2160,Ferdinando-CAPPELLI-4410,80,9999999, ITALY, Right, Sabre 
2161,Ferenc-CSISZER-42218,18,478, HUNGARY, Right, Epée 
2162,Ferenc_Tamas-CSISZER-45176,50,493, HUNGARY, Right, Epée 
2163,Ferhat_Alp-KARADOGAN-36571,21,9999999, TURKEY, Right, Foil 
2164,Feride_G%C3%BCl-KARADOGAN-36582,20,9999999, TURKEY, Right, Foil 
2165,Feriel-ADJABI-30280,23,9999999, ALGERIA, Right, Foil 
2166,Fernanda-MANSUR-21103,28,9999999, BRAZIL, Right, Foil 
2167,Fernanda-MARTINEZ_SALINAS-37272,21,9999999, MEXICO, Right, Sabre 
2168,Fernando-ARIZA-48369,18,399, MEXICO, Right, Foil 
2169,Fernando-CASARES-2427,38,302, SPAIN, Right, Sabre 
2170,Fernando-Casares-2427,38,302, SPAIN, Right, Sabre 
2171,Fernando-DAMAS-11287,69,9999999, SPAIN, Right, Epée 
2172,Fernando-GONZALEZ_MORALES-42820,17,9999999, CHILE, Right, Sabre 
2173,Fernando-LUPIZ-35878,65,9999999, ARGENTINA, Right, Epée 
2174,Fernando-ROMERO-35978,20,9999999, MEXICO, Right, Sabre 
2175,Fernando-SCAVASIN-19724,34,308, BRAZIL, Right, Foil 
2176,Fernando-SOLIS-42704,18,522, MEXICO, Right, Sabre 
2177,Fernando-TALAMANTES-43484,18,9999999, MEXICO, Right, Epée 
2178,Feryel-ZIDEN-43559,18,380, TUNISIA, Right, Epée 
2179,Fidel-FERRET_FERRER-33230,27,9999999, CUBA, Right, Epée 
2180,Filip-BRONISZEWSKI-17162,28,398, POLAND, Right, Epée 
2181,Filip-DOLEGIEWICZ-42949,18,9999999, USA, Left, Sabre 
2182,Filip-HEDENSKOG-17046,29,9999999, SWEDEN, Left, Foil 
2183,Filip-PLOCHARSKI-22102,28,9999999, POLAND, Right, Foil 
2184,Filip-ZMIJEWSKI-30343,23,440, POLAND, Right, Foil 
2185,Filipe-FRAZAO-41026,17,9999999, PORTUGAL, Right, Epée 
2186,Filipp-DJATSUK-40048,19,582, ESTONIA, Right, Epée 
2187,Filippo-ARMALEO-47042,17,9999999, ITALY, Left, Epée 
2188,Filippo-CANEPA-26383,27,9999999, ITALY, Right, Epée 
2189,Filippo-CARLUCCI-36132,54,9999999, ITALY, Right, Sabre 
2190,Filippo-GASPERINI-35911,20,9999999, ITALY, Right, Foil 
2191,Filippo-GUERRA-24155,25,191, ITALY, Right, Foil 
2192,Filippo-MACCHI-45453,17,728, ITALY, Left, Foil 
2193,Filippo-MARIOTTI-39509,19,9999999, ITALY, Left, Foil 
2194,Filippo-QUAGLIOTTO-45864,17,305, ITALY, Right, Foil 
2195,Fily-DEMBELE-40467,20,9999999, MALI, Right, Epée 
2196,Finn-MILLER-43129,18,855, USA, Right, Epée 
2197,Finnula-MAGERAS-36448,20,207, IRELAND, Right, Foil 
2200,Fiona-HATZ-36954,19,404, SWITZERLAND, Right, Epée 
2202,Fionn-FLYNN-35879,22,9999999, IRELAND, Right, Sabre 
2203,Fionn-OCONNOR-36685,25,9999999, IRELAND, Right, Epée 
2204,Fiorella-CAPRILE-44197,22,9999999, CHILE, Right, Sabre 
2205,Firuze_Aysen-GUNES-35097,21,282, TURKEY, Right, Foil 
2206,Flaminia-PREARO-28640,22,431, ITALY, Right, Sabre 
2207,Flaminia-VIOLATI-44822,51,9999999, ITALY, Right, Epée 
2208,Flavia-BONANNI-40693,18,318, ITALY, Right, Sabre 
2209,Flavia_Johana-MORMANDI-1455,32,82, ARGENTINA, Left, Foil 
2210,Flavio-GIANNOTTE-28816,23,183, LUXEMBOURG, Right, Epée 
