,ID,Edad,FieRanking,Nacionalidad,Mano,Arma
5847,Simon-LOMBANA_MARTINEZ-43016,16,435, COLOMBIA, Right, Epée 
5851,Simona-GHERMAN-5621,33,9999999, ROMANIA, Right, Epée 
5852,Simona-Gherman-5621,33,9999999, ROMANIA, Right, Epée 
5854,Simona-POP-9855,30,9999999, ROMANIA, Left, Epée 
5855,Simone-ESPOSITO-25822,25,9999999, ITALY, Left, Epée 
5856,Simone-GRECO-47043,17,9999999, ITALY, Right, Epée 
5857,Simone-KEIMBURG-33639,26,9999999, GERMANY, Right, Epée 
5858,Simonpaolo-BUONGIARDINO-4398,71,9999999, ITALY, Right, Epée 
5862,Sin_Yu-HAN-40248,20,527, CHINESE TAIPEI, Right, Epée 
5863,Sina-DOSTERT-16330,27,9999999, GERMANY, Right, Epée 
5865,Sinhee-LEE-35209,21,328, KOREA, Left, Epée 
5867,Sire-GUEYE-24349,26,9999999, SENEGAL, Right, Epée 
5870,Sirpa-LUNDGREN-19576,68,9999999, FINLAND, Right, Epée 
5874,Siva_Magesh-SATHASIVAN_NIRMALA-40369,17,9999999, INDIA, Right, Epée 
5878,Sofia-CISNEROS-28400,22,327, SPAIN, Right, Epée 
5880,Sofia-HANSSON-45587,18,449, SWEDEN, Right, Epée 
5881,Sofia-KOMAR-38608,18,657, USA, Right, Epée 
5883,Sofia-PEREZ_SIMBOR-22490,27,429, SPAIN, Right, Epée 
5886,Sofia-TAURIAINEN-27351,21,332, FINLAND, Right, Epée 
5887,Sofia_Beatriz-MEDLIN_BETANCOURT-37177,18,9999999, PUERTO RICO, Right, Epée 
5889,Sofie-LARSSON-6217,33,391, SWEDEN, Right, Epée 
5890,Sofie_Riis-ANDERSEN-31517,32,9999999, DENMARK, Right, Epée 
5891,Sofiia-SLIUSAREVA-42584,19,298, UKRAINE, Right, Epée 
5892,Sofiya-NIKOLAICHUK-42932,16,554, KAZAKHSTAN, Left, Epée 
5896,Sohui-KIM-46548,16,9999999, KOREA, Right, Epée 
5901,Solene-MASSEREY-39475,19,384, SWITZERLAND, Right, Epée 
5902,Solene-MBIIM-40431,17,9999999, FRANCE, Right, Epée 
5905,Solenn-MARUENDA-36352,21,9999999, FRANCE, Right, Epée 
5906,Solt-SERRA-17461,29,361, HUNGARY, Right, Epée 
5911,Sonja-LOFGREN-38861,19,399, SWEDEN, Right, Epée 
5915,Sophia-WEITBRECHT-32172,21,299, GERMANY, Left, Epée 
5918,Sophia_Alejandra-ROJAS_LOPEZ-42975,16,279, COLOMBIA, Right, Epée 
5919,Sophie-ENGDAHL-35404,18,535, SWEDEN, Right, Epée 
5920,Sophie-HAARLEM-6203,45,9999999, SWEDEN, Right, Epée 
5921,Sophie-SAUDO-42402,39,519, FRANCE, Right, Epée 
5928,Souleymane-SANOGO-40470,19,9999999, MALI, Right, Epée 
5934,Stahelyn_Jose-AGAMEZ_LONDONO-42992,18,348, COLOMBIA, Right, Epée 
5935,Stamatis-KOUTSOUFLAKIS-40591,46,526, GREECE, Right, Epée 
5936,Stanislav-GALPER-32816,20,332, ISRAEL, Left, Epée 
5937,Steeven-SELOI-31886,23,9999999, FRANCE, Right, Epée 
5941,Stefan-CIPAR-14443,30,9999999, SLOVAKIA, Right, Epée 
5945,Stefania-DICA-40596,18,9999999, ROMANIA, Right, Epée 
5946,Stefania-URANIA-31250,36,186, ARGENTINA, Right, Epée 
5947,Stefanie-FEHRER-33544,20,771, AUSTRIA, Right, Epée 
5949,Stefano-CARACCIOLO-13472,52,9999999, ITALY, Right, Epée 
5950,Stefano-DONATI-28101,29,9999999, ITALY, Right, Epée 
5956,Stefitha-CHALIL-25548,25,9999999, INDIA, Right, Epée 
5957,Stella-LANCEY-34330,30,753, GREAT BRITAIN, Right, Epée 
5958,Sten-PRIINITS-9367,31,76, ESTONIA, Right, Epée 
5960,Stephan-REIN-12532,30,77, GERMANY, Left, Epée 
5961,Stephanie-BIEBER-26490,27,600, GERMANY, Right, Epée 
5964,Stephanie-LASMOLLES-45235,38,487, FRANCE, Right, Epée 
5966,Stephanie-VAZQUEZ-32511,21,9999999, PUERTO RICO, Right, Epée 
5969,Stephen-EWART-37603,19,935, USA, Left, Epée 
5974,Steven-GRAMS-46014,17,956, CANADA, Right, Epée 
5975,Stig-CHRISTENSEN-21839,53,9999999, DENMARK, Right, Epée 
5976,Sturla-TORKILDSEN-5279,37,337, NORWAY, Left, Epée 
5978,Subeen-KIM-43608,17,9999999, KOREA, Left, Epée 
5985,Sumaya-ALBUAINAIN-40178,17,9999999, BAHRAIN, Right, Epée 
5987,Sung_Ho-AN-26280,33,144, KOREA, Right, Epée 
5988,Sunil-KUMAR-38358,29,194, INDIA, Left, Epée 
5994,Susan_Maria-SICA-37683,20,289, GREAT BRITAIN, Left, Epée 
5996,Susana-SALAZAR_ALDANA-37251,21,494, COLOMBIA, Right, Epée 
5998,Suvi-LEHTONEN-14473,35,344, FINLAND, Right, Epée 
5999,Suzanne-BLOOMER-35652,56,9999999, USA, Right, Epée 
6005,Svetlozar-ISKROV-40567,20,595, BULGARIA, Right, Epée 
6006,Svetoslav-MARINOV-16978,63,9999999, BULGARIA, Left, Epée 
6007,Svyatoslav-AXENOV-37584,18,560, KAZAKHSTAN, Left, Epée 
6016,Symi-CAROUSSOS-20218,26,9999999, CANADA, Right, Epée 
6017,Syuan_Yu-CHEN-42659,18,9999999, CHINESE TAIPEI, Right, Epée 
6018,Sze_Hou-HO-30882,22,155, HONG KONG, Right, Epée 
6025,TAURIAINEN-Sofia-27351,21,332, FINLAND, Right, Epée 
6031,Taehee-LIM-46568,16,9999999, KOREA, Right, Epée 
6032,Taejin-SON-36998,22,359, KOREA, Left, Epée 
6034,Taeyeong-AN-43613,18,9999999, KOREA, Right, Epée 
6035,Taher-ASHOURI-20659,28,342, IRAN, Right, Epée 
6037,Takaaki-ISHII-38005,30,9999999, JAPAN, Right, Epée 
6047,Tamae-KAWASE-38753,20,9999999, JAPAN, Right, Epée 
6048,Tamara-CHWOJNIK-39558,20,781, ARGENTINA, Left, Epée 
6049,Tamara-FEDOR-33619,21,400, HUNGARY, Left, Epée 
6050,Tamara-GNAM-35779,18,508, HUNGARY, Left, Epée 
6060,Tamila-MURIDOVA-37576,17,229, KAZAKHSTAN, Left, Epée 
6063,Tamryn-CARFOOT-27366,32,9999999, SOUTH AFRICA, Right, Epée 
6066,Tanishvir-SINGH-40365,20,9999999, INDIA, Right, Epée 
6067,Tanya-HURLEY-38589,63,9999999, USA, Right, Epée 
6073,Tatian-BOLBOCEANU-26550,25,321, ROMANIA, Left, Epée 
6076,Tatiana-GUDKOVA-25207,26,38, RUSSIA, Left, Epée 
6077,Tatiana-LOGUNOVA-5808,38,9999999, RUSSIA, Right, Epée 
6085,Tatijana-STEWART-35893,19,9999999, USA, Left, Epée 
6086,Tatu-NUOTIO-29832,24,415, FINLAND, Right, Epée 
6087,Tatyana-ANDRYUSHINA-18610,28,18, RUSSIA, Right, Epée 
6088,Tatyana-Andryushina-18610,28,18, RUSSIA, Right, Epée 
6094,Teemu-SEEVE-17386,26,311, FINLAND, Right, Epée 
6102,Teresa-OSLAND-39205,40,9999999, ITALY, Right, Epée 
6103,Tereza-JASNA-45220,18,648, CZECH REPUBLIC, Right, Epée 
6104,Terhi-LUMME-9551,33,9999999, FINLAND, Right, Epée 
6108,Thale-HILLE_DAHL-29774,24,362, NORWAY, Left, Epée 
6113,Theodore-LOMBARDO-42917,18,251, USA, Right, Epée 
