TABLEU,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON,WINNER
32,26,218, FINLAND, Right, Epée ,22,321, ESTONIA, Right, Epée ,1
32,28,126, ESTONIA, Right, Epée ,23,193, AUSTRALIA, Right, Epée ,0
32,27,416, FINLAND, Right, Epée ,26,28, ESTONIA, Right, Epée ,1
32,24,9, ESTONIA, Left, Epée ,20,420, FINLAND, Right, Epée ,0
32,24,362, NORWAY, Left, Epée ,42,287, LATVIA, Right, Epée ,0
32,22,172, LITHUANIA, Right, Epée ,21,107, SWEDEN, Right, Epée ,1
32,19,399, SWEDEN, Right, Epée ,19,165, SWEDEN, Left, Epée ,1
32,33,25, ESTONIA, Right, Epée ,28,430, FINLAND, Left, Epée ,0
32,20,407, DENMARK, Right, Epée ,18,349, ESTONIA, Right, Epée ,1
32,42,384, FINLAND, Right, Epée ,25,250, LITHUANIA, Right, Epée ,1
32,22,274, FINLAND, Right, Epée ,30,375, SOUTH AFRICA, Right, Epée ,0
32,23,160, FINLAND, Right, Epée ,33,210, NORWAY, Right, Epée ,0
32,17,371, ESTONIA, Right, Epée ,22,209, PANAMA, Right, Epée ,0
32,17,354, ESTONIA, Left, Epée ,22,403, FINLAND, Right, Epée ,0
32,23,137, SWEDEN, Right, Epée ,38,68, ESTONIA, Left, Epée ,1
16,26,43, HUNGARY, Right, Epée ,22,321, ESTONIA, Right, Epée ,0
16,28,126, ESTONIA, Right, Epée ,26,28, ESTONIA, Right, Epée ,1
16,24,9, ESTONIA, Left, Epée ,24,362, NORWAY, Left, Epée ,0
16,21,107, SWEDEN, Right, Epée ,19,165, SWEDEN, Left, Epée ,0
16,33,25, ESTONIA, Right, Epée ,18,349, ESTONIA, Right, Epée ,0
16,25,250, LITHUANIA, Right, Epée ,22,274, FINLAND, Right, Epée ,1
16,23,160, FINLAND, Right, Epée ,17,371, ESTONIA, Right, Epée ,0
16,17,354, ESTONIA, Left, Epée ,38,68, ESTONIA, Left, Epée ,1
8,26,43, HUNGARY, Right, Epée ,26,28, ESTONIA, Right, Epée ,1
8,24,9, ESTONIA, Left, Epée ,21,107, SWEDEN, Right, Epée ,1
8,33,25, ESTONIA, Right, Epée ,22,274, FINLAND, Right, Epée ,0
