,,ID,TABLEU,C1_ID,C1_AGE,C1_RANKING,C1_NATIONALITY,C1_HANDNESS,C1_WEAPON,C2_ID,C2_AGE,C2_RANKING,C2_NATIONALITY,C2_HANDNESS,C2_WEAPON
90,2019-393,32,Eszter-MUHARI-42192,16, 275, HUNGARY, Left, Epée ,Laura-SZABO-28317,25, 394, HUNGARY, Right, Epée , V/15
91,2019-393,32,Kristina-KUUSK-2611,33, 25, ESTONIA, Right, Epée ,Tik_Lam_Debbie-HO-32966,21, 437, HONG KONG, Right, Epée , V/9
92,2019-393,32,Lis-ROTTLER_FAUTSCH-9667,31, 105, LUXEMBOURG, Left, Epée ,Olga-LUKIANOVA-17600,30, 77, RUSSIA, Right, Epée , D/12
93,2019-393,32,Kata-MIHALY-19595,28, 142, HUNGARY, Right, Epée ,Reka-SZABO-26222,23, 95, HUNGARY, Left, Epée , V/15
94,2019-393,32,Nelli-LADANYI-34497,20, 369, HUNGARY, Right, Epée ,Kristina-YASINSKAYA-33673,20, 322, RUSSIA, Left, Epée , V/15
95,2019-393,32,Alena-KOMAROVA-26764,22, 89, RUSSIA, Left, Epée ,Sophia-WEITBRECHT-32172,21, 299, GERMANY, Left, Epée , V/15
96,2019-393,32,Inna-BROVKO-29945,21, 103, UKRAINE, Left, Epée ,Bianca-BENEA-32982,19, 297, ROMANIA, Right, Epée , D/2
97,2019-393,32,Anastasia-KORNEEVA-31148,23, 261, RUSSIA, Right, Epée ,Vanessa-RIEDMUELLER-32168,21, 208, GERMANY, Right, Epée , D/12
98,2019-393,32,Raluca_Cristina-SBARCIA-17455,29, 88, ROMANIA, Right, Epée ,Lyubov-SHUTOVA-5839,35, 212, RUSSIA, Right, Epée , V/15
99,2019-393,32,Irina-OKHOTNIKOVA-35103,21, 134, RUSSIA, Right, Epée ,Kamila-PYTKA-25928,24, 130, POLAND, Left, Epée , D/12
100,2019-393,32,Valeria-CSONKA-38783,22, 379, HUNGARY, Right, Epée ,Dorina-BUDAI-19630,26, 43, HUNGARY, Right, Epée , D/8
101,2019-393,32,Tatyana-ANDRYUSHINA-18610,28, 18, RUSSIA, Right, Epée ,Anna-KUN-31836,23, 69, HUNGARY, Right, Epée , V/15
102,2019-393,32,Julia-MORAWIETZ-25012,25, 433, GERMANY, Right, Epée ,Sarolta-OHLMULLER-30101,22, 367, HUNGARY, Right, Epée , D/11
103,2019-393,32,Violetta-KOLOBOVA-18949,27, 16, RUSSIA, Right, Epée ,Ginevra-ROATO-32442,22, 426, ITALY, Right, Epée , V/15
104,2019-393,16,Katrina-LEHIS-24108,24, 9, ESTONIA, Left, Epée ,Eszter-MUHARI-42192,16, 275, HUNGARY, Left, Epée , V/15
105,2019-393,16,Kristina-KUUSK-2611,33, 25, ESTONIA, Right, Epée ,Olga-LUKIANOVA-17600,30, 77, RUSSIA, Right, Epée , D/8
106,2019-393,16,Kata-MIHALY-19595,28, 142, HUNGARY, Right, Epée ,Nelli-LADANYI-34497,20, 369, HUNGARY, Right, Epée , V/15
107,2019-393,16,Alena-KOMAROVA-26764,22, 89, RUSSIA, Left, Epée ,Bianca-BENEA-32982,19, 297, ROMANIA, Right, Epée , V/15
108,2019-393,16,Raluca_Cristina-SBARCIA-17455,29, 88, ROMANIA, Right, Epée ,Kamila-PYTKA-25928,24, 130, POLAND, Left, Epée , V/15
109,2019-393,16,Dorina-BUDAI-19630,26, 43, HUNGARY, Right, Epée ,Tatyana-ANDRYUSHINA-18610,28, 18, RUSSIA, Right, Epée , D/7
110,2019-393,16,Sarolta-OHLMULLER-30101,22, 367, HUNGARY, Right, Epée ,Violetta-KOLOBOVA-18949,27, 16, RUSSIA, Right, Epée , D/12
111,2019-393,8,Katrina-LEHIS-24108,24, 9, ESTONIA, Left, Epée ,Olga-LUKIANOVA-17600,30, 77, RUSSIA, Right, Epée , V/15
112,2019-393,8,Kata-MIHALY-19595,28, 142, HUNGARY, Right, Epée ,Alena-KOMAROVA-26764,22, 89, RUSSIA, Left, Epée , V/15
113,2019-393,8,Tatyana-ANDRYUSHINA-18610,28, 18, RUSSIA, Right, Epée ,Violetta-KOLOBOVA-18949,27, 16, RUSSIA, Right, Epée , V/15
114,2019-393,4,Katrina-LEHIS-24108,24, 9, ESTONIA, Left, Epée ,Kata-MIHALY-19595,28, 142, HUNGARY, Right, Epée , V/15
115,2019-393,4,Raluca_Cristina-SBARCIA-17455,29, 88, ROMANIA, Right, Epée ,Tatyana-ANDRYUSHINA-18610,28, 18, RUSSIA, Right, Epée , D/10
116,2019-393,2,Katrina-LEHIS-24108,24, 9, ESTONIA, Left, Epée ,Tatyana-ANDRYUSHINA-18610,28, 18, RUSSIA, Right, Epée , V/15
117,2019-186,32,David-NOTZON-34880,23, 337, SWITZERLAND, Right, Sabre ,Francesco-DARMIENTO-24278,24, 119, ITALY, Right, Sabre , D/9
118,2019-186,32,Philip-PITURA-31841,22, 318, CANADA, Right, Sabre ,Braden-VACCARI-47350,17, 361, USA, Right, Sabre , V/15
119,2019-186,32,Max-REIMER-16785,28, 363, AUSTRIA, Right, Sabre ,Grant-WILLIAMS-34354,22, 148, USA, Left, Sabre , D/9
120,2019-186,32,Brynmor-SAUNDERS-31317,24, 210, GREAT BRITAIN, Right, Sabre ,Franklin_Ernir-KRISTJANSSON-41555,16, 372, ICELAND, Right, Sabre , V/15
121,2019-186,32,Michalis-KIRIMLIDIS-37461,32, 334, IRELAND, Right, Sabre ,Michael-JACOB-41413,26, 326, IRELAND, Right, Sabre , D/10
122,2019-186,32,Amir-RAHIMI-27146,37, 335, GREAT BRITAIN, Right, Sabre ,Nicolaus-BENEDICT-39013,18, 288, AUSTRIA, Right, Sabre , D/14
123,2019-186,32,Emil_Isleifur-SUMARLIDASON-29386,22, 375, ICELAND, Right, Sabre ,Andri_Nikolaysson-MATEEV-34580,18, 315, ICELAND, Right, Sabre , D/9
124,2019-186,32,Shaul-GORDON-25917,24, 24, CANADA, Right, Sabre ,Gunnar_Egill-AGUSTSSON-21217,26, 379, ICELAND, Right, Sabre , V/15
125,2019-186,32,Andrew-RICHARDSON-45984,19, 346, PUERTO RICO, Left, Sabre ,Zachary-HAMILTON-40727,19, 305, GREAT BRITAIN, Right, Sabre , D/9
126,2019-186,32,Josip-BRAJDIC-32600,22, 324, CROATIA, Right, Sabre ,Charles-GELLETT-42112,22, 341, GREAT BRITAIN, Right, Sabre , V/15
127,2019-186,32,Kjartan_Oli-AGUSTSSON-41557,16, 371, ICELAND, Right, Sabre ,Mateusz-KNEZ-33850,21, 282, POLAND, Right, Sabre , D/9
128,2019-186,32,Jakub-JASKOT-30035,23, 200, POLAND, Right, Sabre ,Konstantin-BONFELD-40398,40, 366, ISRAEL, Right, Sabre , V/15
129,2019-186,32,Magnus-DE_WITT-45731,30, 358, GERMANY, Right, Sabre ,Teddy-WELLER-15297,29, 78, VIRGIN ISLANDS, Right, Sabre , D/9
130,2019-186,32,Jonah-SHAINBERG-30258,22, 176, USA, Right, Sabre ,Jadryn-DICK-32713,23, 306, AUSTRALIA, Right, Sabre , V/15
131,2019-186,32,Hilmar-HEIDDAL-41556,16, 379, ICELAND, Right, Sabre ,Alberto-ARPINO-35850,20, 189, ITALY, Right, Sabre , D/4
132,2019-186,16,Stefano_Ivan-LUCCHETTI-29223,21, 53, ARGENTINA, Right, Sabre ,Francesco-DARMIENTO-24278,24, 119, ITALY, Right, Sabre , V/15
133,2019-186,16,Philip-PITURA-31841,22, 318, CANADA, Right, Sabre ,Grant-WILLIAMS-34354,22, 148, USA, Left, Sabre , D/14
134,2019-186,16,Brynmor-SAUNDERS-31317,24, 210, GREAT BRITAIN, Right, Sabre ,Michael-JACOB-41413,26, 326, IRELAND, Right, Sabre , V/15
135,2019-186,16,Nicolaus-BENEDICT-39013,18, 288, AUSTRIA, Right, Sabre ,Andri_Nikolaysson-MATEEV-34580,18, 315, ICELAND, Right, Sabre , V/15
136,2019-186,16,Shaul-GORDON-25917,24, 24, CANADA, Right, Sabre ,Zachary-HAMILTON-40727,19, 305, GREAT BRITAIN, Right, Sabre , V/15
137,2019-186,16,Josip-BRAJDIC-32600,22, 324, CROATIA, Right, Sabre ,Mateusz-KNEZ-33850,21, 282, POLAND, Right, Sabre , D/9
138,2019-186,16,Jakub-JASKOT-30035,23, 200, POLAND, Right, Sabre ,Teddy-WELLER-15297,29, 78, VIRGIN ISLANDS, Right, Sabre , V/15
139,2019-186,16,Jonah-SHAINBERG-30258,22, 176, USA, Right, Sabre ,Alberto-ARPINO-35850,20, 189, ITALY, Right, Sabre , V/15
140,2019-186,8,Stefano_Ivan-LUCCHETTI-29223,21, 53, ARGENTINA, Right, Sabre ,Grant-WILLIAMS-34354,22, 148, USA, Left, Sabre , V/15
141,2019-186,8,Brynmor-SAUNDERS-31317,24, 210, GREAT BRITAIN, Right, Sabre ,Nicolaus-BENEDICT-39013,18, 288, AUSTRIA, Right, Sabre , V/15
142,2019-186,8,Shaul-GORDON-25917,24, 24, CANADA, Right, Sabre ,Mateusz-KNEZ-33850,21, 282, POLAND, Right, Sabre , V/15
