Category, Gender, Weapon, Competition, Place, Date, Type, Event
Championnats du monde juniors-cadets,Verona,01.04.18,J,E,M,I,CHM
Grand Prix,Seoul,30.03.18,S,S,M,I,GP
Grand Prix,Seoul,30.03.18,S,S,F,I,GP
Tournoi Satellite,Zacatecas City,24.03.18,S,F,F,I,SA
WESTEND Grand Prix,Budapest,23.03.18,S,E,F,I,GP
WESTEND Grand Prix,Budapest,23.03.18,S,E,M,I,GP
Tournoi Satellite,Zacatecas City,23.03.18,S,F,M,I,SA
Coupe du Monde par équipes,Athènes,18.03.18,S,S,F,T,A
Tournoi satellite,Turku,18.03.18,S,E,F,I,SA
Tournoi satellite,Turku,17.03.18,S,E,M,I,SA
Absolute Fencing Gear® Grand Prix,Anaheim, California,17.03.18,S,F,F,I,GP
Absolute Fencing Gear® Grand Prix,Anaheim, California,16.03.18,S,F,M,I,GP
Coupe du Monde,Athènes,16.03.18,S,S,F,I,A
Championnats d’Europe juniors,Sochi,11.03.18,J,E,M,T,CHZ
Championnats d’Europe juniors,Sochi,11.03.18,J,S,F,T,CHZ
Championnats d’Europe juniors,Sochi,11.03.18,J,F,M,T,CHZ
Championnats Panaméricains juniors,San-Jose,10.03.18,J,F,F,T,CHZ
Championnats Panaméricains juniors,San-Jose,10.03.18,J,E,M,T,CHZ
Championnats d’Europe juniors,Sochi,10.03.18,J,F,F,T,CHZ
Championnats d’Europe juniors,Sochi,10.03.18,J,E,F,T,CHZ
Championnats d’Europe juniors,Sochi,10.03.18,J,S,M,T,CHZ
Championnats Panaméricains juniors,San-Jose,10.03.18,J,S,F,T,CHZ
Championnats Panaméricains juniors,San-Jose,09.03.18,J,S,M,T,CHZ
Championnats Panaméricains juniors,San-Jose,09.03.18,J,E,F,T,CHZ
Championnats d’Europe juniors,Sochi,09.03.18,J,F,M,I,CHZ
Championnats Panaméricains juniors,San-Jose,09.03.18,J,F,M,T,CHZ
Championnats d’Europe juniors,Sochi,09.03.18,J,S,F,I,CHZ
Championnats Panaméricains juniors,San-Jose,08.03.18,J,E,M,I,CHZ
Championnats d’Europe juniors,Sochi,08.03.18,J,E,M,I,CHZ
Championnats d’Europe juniors,Sochi,08.03.18,J,F,F,I,CHZ
Championnats Panaméricains Juniors,San-Jose,08.03.18,J,F,F,I,CHZ
Championnats d’Europe juniors,Sochi,07.03.18,J,S,M,I,CHZ
Championnats Panaméricains juniors,San-Jose,07.03.18,J,F,M,I,CHZ
Championnats d’Europe juniors,Sochi,07.03.18,J,E,F,I,CHZ
Championnats Panaméricains juniors,San-Jose,07.03.18,J,S,F,I,CHZ
Championnats Panaméricains juniors,San-Jose,06.03.18,J,S,M,I,CHZ
Championnats Panaméricains juniors,San-Jose,06.03.18,J,E,F,I,CHZ
Championnats d'Afrique juniors,Lagos,05.03.18,J,E,F,T,CHZ
Championnats d'Afrique juniors,Lagos,05.03.18,J,F,F,T,CHZ
Championnats d'Afrique juniors,Lagos,05.03.18,J,S,F,T,CHZ
Championnats d'Afrique juniors,Lagos,05.03.18,J,E,M,T,CHZ
Championnats d'Afrique juniors,Lagos,05.03.18,J,F,M,T,CHZ
Championnats d'Afrique juniors,Lagos,05.03.18,J,S,M,T,CHZ
Championnats d'Afrique juniors,Lagos,04.03.18,J,F,M,I,CHZ
Championnats d'Afrique juniors,Lagos,04.03.18,J,E,F,I,CHZ
Championnats d'Afrique juniors,Lagos,04.03.18,J,S,F,I,CHZ
Championnats Asiatiques juniors,Dubai,04.03.18,J,S,F,T,CHZ
Championnats Asiatiques juniors,Dubai,04.03.18,J,E,F,T,CHZ
Championnats Asiatiques juniors,Dubai,04.03.18,J,F,M,T,CHZ
Championnats Asiatiques juniors,Dubai,03.03.18,J,F,F,T,CHZ
Championnats Asiatiques juniors,Dubai,03.03.18,J,S,M,T,CHZ
Championnats d'Afrique juniors,Lagos,03.03.18,J,F,F,I,CHZ
Championnats Asiatiques juniors,Dubai,03.03.18,J,F,F,T,CHZ
Championnats Asiatiques juniors,Dubai,03.03.18,J,S,M,T,CHZ
Championnats Asiatiques juniors,Dubai,03.03.18,J,E,M,T,CHZ
Championnats Asiatiques juniors,Dubai,02.03.18,J,F,M,I,CHZ
Championnats Asiatiques juniors,Dubai,02.03.18,J,E,F,I,CHZ
Championnats Asiatiques juniors,Dubai,01.03.18,J,E,M,I,CHZ
Championnats Asiatiques juniors,Dubai,01.03.18,J,S,F,I,CHZ
Championnats Asiatiques juniors,Dubai,28.02.18,J,F,F,I,CHZ
Championnats Asiatiques juniors,Dubai,28.02.18,J,S,M,I,CHZ
Coupe du Monde par équipes,Varsovie,25.02.18,S,S,M,T,A
Tournoi Satellite,Ashkelon,24.02.18,S,E,M,I,SA
Tournoi satellite,Barcelone,24.02.18,S,F,M,I,SA
Tournoi satellite,Barcelone,24.02.18,S,F,F,I,SA
Sabre de Wolodyjowski,Varsovie,23.02.18,S,S,M,I,A
Coupe du Monde par équipes,Dijon,18.02.18,J,E,F,T,A
Coupe du Monde par équipes,Bâle,18.02.18,J,E,M,T,A
Coupe du Monde par équipes,Terrassa (Barcelona),18.02.18,J,F,M,T,A
Coupe du Monde par équipes,Vancouver,18.02.18,S,E,M,T,A
Coupe du Monde par équipes,Moedling,18.02.18,J,F,F,T,A
Coupe du Monde,Bâle,17.02.18,J,E,M,I,A
Coupe du Monde,Mödling,17.02.18,J,F,F,I,A
Coupe du Monde,Terrassa (Barcelona),17.02.18,J,F,M,I,A
