ID, TABLEU, C1_ID, C1_AGE, C1_RANKING, C1_NATIONALITY,C1_HANDNESS, C1_WEAPON, C2_ID, C2_AGE, C2_RANKING, C2_NATIONALITY,C2_HANDNESS, C2_WEAPON, RESULT_C1, RESULT_C2
2015-741, 32,Alexey-CHEREMISINOV-15375,33, 6, RUSSIA, Right, Foil ,James_Andrew-DAVIS-17052,27, 26, GREAT BRITAIN, Left, Foil , D/12,  V/15
2015-741, 32,Martino-MINUTO-12216,30, 31, TURKEY, Right, Foil ,Pedro-MACEDO-16428,27, 508, PORTUGAL, Left, Foil , D/13,  V/15
2015-741, 32,Moritz-KROEPLIN-17895,27, None, GERMANY, Left, Foil ,Vincent-SIMON-21926,28, 62, FRANCE, Right, Foil , V/15,  D/8
2015-741, 32,Daniele-GAROZZO-19821,26, 4, ITALY, Right, Foil ,Enzo-LEFORT-22555,27, 11, FRANCE, Right, Foil , V/15,  D/8
2015-741, 32,Artur-AKHMATKHUZIN-16397,30, None, RUSSIA, Right, Foil ,Sebastian-BACHMANN-3444,32, None, GERMANY, Right, Foil , V/15,  D/7
2015-741, 32,Radu-DARABAN-5648,35, None, ROMANIA, Right, Foil ,Rostyslav-HERTSYK-17622,29, 83, UKRAINE, Left, Foil , V/15,  D/14
2015-741, 32,Edoardo-LUPERI-21621,25, 33, ITALY, Left, Foil ,Aliaksandr-CHALIANKOV-1804,32, None, BELARUS, Left, Foil , V/15,  D/6
2015-741, 32,Tomer-OR-4331,40, None, ISRAEL, Right, Foil ,Alexander-CHOUPENITCH-21765,24, 19, CZECH REPUBLIC, Right, Foil , D/3,  V/15
2015-741, 32,Renal-GANEEV-5774,34, None, RUSSIA, Left, Foil ,Rene-PRANZ-7259,33, None, AUSTRIA, Right, Foil , V/15,  D/6
2015-741, 32,Richard-KRUSE-3256,35, 2, GREAT BRITAIN, Right, Foil ,Peter-JOPPICH-3629,36, 41, GERMANY, Right, Foil , V/15,  D/5
2015-741, 32,Andrii-POGREBNIAK-15368,30, 60, UKRAINE, Left, Foil ,Ivan-KOMSIC-13682,28, 155, CROATIA, Right, Foil , D/10,  V/15
2015-741, 32,Carlos-LLAVADOR-21966,26, 12, SPAIN, Left, Foil ,Klod-YUNES-15353,29, 74, UKRAINE, Right, Foil , V/15,  D/5
2015-741, 32,Leszek-RAJSKI-5452,35, 87, POLAND, Right, Foil ,Andre-SANITA-24117,26, 85, GERMANY, Left, Foil , D/9,  V/15
2015-741, 32,Giorgio-AVOLA-17823,29, 9, ITALY, Right, Foil ,Jeremy-CADOT-10794,32, 16, FRANCE, Left, Foil , D/14,  V/15
2015-741, 32,Michal-JANDA-19949,27, 100, POLAND, Left, Foil ,Andrea-CASSARA-4423,35, 7, ITALY, Left, Foil , D/0,  V/15
2015-741, 16,James_Andrew-DAVIS-17052,27, 26, GREAT BRITAIN, Left, Foil ,Pedro-MACEDO-16428,27, 508, PORTUGAL, Left, Foil , V/15,  D/6
2015-741, 16,Moritz-KROEPLIN-17895,27, None, GERMANY, Left, Foil ,Daniele-GAROZZO-19821,26, 4, ITALY, Right, Foil , D/12,  V/15
2015-741, 16,Artur-AKHMATKHUZIN-16397,30, None, RUSSIA, Right, Foil ,Radu-DARABAN-5648,35, None, ROMANIA, Right, Foil , D/12,  V/15
2015-741, 16,Edoardo-LUPERI-21621,25, 33, ITALY, Left, Foil ,Alexander-CHOUPENITCH-21765,24, 19, CZECH REPUBLIC, Right, Foil , V/15,  D/11
2015-741, 16,Renal-GANEEV-5774,34, None, RUSSIA, Left, Foil ,Richard-KRUSE-3256,35, 2, GREAT BRITAIN, Right, Foil , D/11,  V/15
2015-741, 16,Ivan-KOMSIC-13682,28, 155, CROATIA, Right, Foil ,Carlos-LLAVADOR-21966,26, 12, SPAIN, Left, Foil , D/9,  V/15
2015-741, 16,Jeremy-CADOT-10794,32, 16, FRANCE, Left, Foil ,Andrea-CASSARA-4423,35, 7, ITALY, Left, Foil , D/14,  V/15
2015-741, 8,James_Andrew-DAVIS-17052,27, 26, GREAT BRITAIN, Left, Foil ,Daniele-GAROZZO-19821,26, 4, ITALY, Right, Foil , D/8,  V/15
2015-741, 8,Radu-DARABAN-5648,35, None, ROMANIA, Right, Foil ,Edoardo-LUPERI-21621,25, 33, ITALY, Left, Foil , D/5,  V/15
2015-741, 8,Richard-KRUSE-3256,35, 2, GREAT BRITAIN, Right, Foil ,Carlos-LLAVADOR-21966,26, 12, SPAIN, Left, Foil , D/10,  V/15
2015-741, 4,Daniele-GAROZZO-19821,26, 4, ITALY, Right, Foil ,Edoardo-LUPERI-21621,25, 33, ITALY, Left, Foil , V/15,  D/6
2015-741, 4,Carlos-LLAVADOR-21966,26, 12, SPAIN, Left, Foil ,Andrea-CASSARA-4423,35, 7, ITALY, Left, Foil , D/10,  V/15
2015-741, 2,Daniele-GAROZZO-19821,26, 4, ITALY, Right, Foil ,Andrea-CASSARA-4423,35, 7, ITALY, Left, Foil , D/11,  V/15
2015-162, 32,Bongil-GU-18876,29, 2, KOREA, Right, Sabre ,Andriy-YAGODKA-13709,30, 28, UKRAINE, Right, Sabre , V/15,  D/9
2015-162, 32,Eli-DERSHWITZ-27914,23, 1, USA, Left, Sabre ,Veniamin-RESHETNIKOV-15087,32, 14, RUSSIA, Left, Sabre , V/15,  D/14
2015-162, 32,Riccardo-NUCCIO-21584,27, 56, ITALY, Left, Sabre ,Maxence-LAMBERT-28757,24, 39, FRANCE, Right, Sabre , D/10,  V/15
2015-162, 32,Matyas-SZABO-17458,27, 22, GERMANY, Right, Sabre ,Diego-OCCHIUZZI-4603,37, 509, ITALY, Right, Sabre , V/15,  D/14
2015-162, 32,Kamil-IBRAGIMOV-24920,25, 6, RUSSIA, Right, Sabre ,Mojtaba-ABEDINI-4276,34, 20, IRAN, Right, Sabre , V/15,  D/6
2015-162, 32,Renzo-AGRESTA-8950,33, None, BRAZIL, Right, Sabre ,Nikolay-KOVALEV-5800,32, None, RUSSIA, Right, Sabre , D/14,  V/15
2015-162, 32,Max-HARTUNG-12611,29, 9, GERMANY, Right, Sabre ,Tamas-DECSI-4057,36, 52, HUNGARY, Right, Sabre , D/9,  V/15
2015-162, 32,Kyehwan-KIM-8506,32, 191, KOREA, Right, Sabre ,Alexey-YAKIMENKO-5861,35, None, RUSSIA, Left, Sabre , D/9,  V/15
2015-162, 32,Tiberiu-DOLNICEANU-13643,30, 27, ROMANIA, Right, Sabre ,Ilya-MOTORIN-22488,27, 205, RUSSIA, Right, Sabre , V/15,  D/10
2015-162, 32,Andras-SZATMARI-22449,25, 8, HUNGARY, Right, Sabre ,Nicolas-LIMBACH-1754,33, None, GERMANY, Right, Sabre , D/7,  V/15
2015-162, 32,Nicolas-ROUSSET-13391,30, 133, FRANCE, Right, Sabre ,Joseph-POLOSSIFAKIS-17706,28, 535, CANADA, Left, Sabre , D/14,  V/15
2015-162, 32,Alin-BADEA-16385,30, 38, ROMANIA, Right, Sabre ,Aldo-MONTANO-4586,40, 29, ITALY, Right, Sabre , V/15,  D/14
2015-162, 32,Enrico-BERRE-24259,26, 12, ITALY, Right, Sabre ,Luca-CURATOLI-24460,24, 7, ITALY, Left, Sabre , D/12,  V/15
2015-162, 32,Dmitriy-DANILENKO-31163,23, 26, RUSSIA, Left, Sabre ,Aron-SZILAGYI-13741,28, 4, HUNGARY, Right, Sabre , D/7,  V/15
2015-162, 32,Woo_Young-WON-13998,36, None, KOREA, Right, Sabre ,Sanguk-OH-36990,22, 5, KOREA, Right, Sabre , V/15,  D/9
2015-162, 32,Vincent-ANSTETT-2693,36, 17, FRANCE, Right, Sabre ,Junghwan-KIM-11066,35, 3, KOREA, Right, Sabre , D/7,  V/15
2015-162, 16,Bongil-GU-18876,29, 2, KOREA, Right, Sabre ,Eli-DERSHWITZ-27914,23, 1, USA, Left, Sabre , V/15,  D/11
2015-162, 16,Maxence-LAMBERT-28757,24, 39, FRANCE, Right, Sabre ,Matyas-SZABO-17458,27, 22, GERMANY, Right, Sabre , D/14,  V/15
2015-162, 16,Kamil-IBRAGIMOV-24920,25, 6, RUSSIA, Right, Sabre ,Nikolay-KOVALEV-5800,32, None, RUSSIA, Right, Sabre , V/15,  D/14
2015-162, 16,Tamas-DECSI-4057,36, 52, HUNGARY, Right, Sabre ,Alexey-YAKIMENKO-5861,35, None, RUSSIA, Left, Sabre , V/15,  D/12
2015-162, 16,Tiberiu-DOLNICEANU-13643,30, 27, ROMANIA, Right, Sabre ,Nicolas-LIMBACH-1754,33, None, GERMANY, Right, Sabre , V/15,  D/11
2015-162, 16,Joseph-POLOSSIFAKIS-17706,28, 535, CANADA, Left, Sabre ,Alin-BADEA-16385,30, 38, ROMANIA, Right, Sabre , V/15,  D/11
2015-162, 16,Luca-CURATOLI-24460,24, 7, ITALY, Left, Sabre ,Aron-SZILAGYI-13741,28, 4, HUNGARY, Right, Sabre , D/9,  V/15
2015-162, 16,Woo_Young-WON-13998,36, None, KOREA, Right, Sabre ,Junghwan-KIM-11066,35, 3, KOREA, Right, Sabre , D/11,  V/15
2015-162, 8,Bongil-GU-18876,29, 2, KOREA, Right, Sabre ,Matyas-SZABO-17458,27, 22, GERMANY, Right, Sabre , D/10,  V/15
2015-162, 8,Kamil-IBRAGIMOV-24920,25, 6, RUSSIA, Right, Sabre ,Tamas-DECSI-4057,36, 52, HUNGARY, Right, Sabre , D/14,  V/15
2015-162, 8,Tiberiu-DOLNICEANU-13643,30, 27, ROMANIA, Right, Sabre ,Joseph-POLOSSIFAKIS-17706,28, 535, CANADA, Left, Sabre , V/15,  D/11
2015-162, 8,Aron-SZILAGYI-13741,28, 4, HUNGARY, Right, Sabre ,Junghwan-KIM-11066,35, 3, KOREA, Right, Sabre , V/15,  D/10
2015-162, 4,Matyas-SZABO-17458,27, 22, GERMANY, Right, Sabre ,Tamas-DECSI-4057,36, 52, HUNGARY, Right, Sabre , V/15,  D/10
2015-162, 4,Tiberiu-DOLNICEANU-13643,30, 27, ROMANIA, Right, Sabre ,Aron-SZILAGYI-13741,28, 4, HUNGARY, Right, Sabre , V/15,  D/14
2015-162, 2,Matyas-SZABO-17458,27, 22, GERMANY, Right, Sabre ,Tiberiu-DOLNICEANU-13643,30, 27, ROMANIA, Right, Sabre , D/11,  V/15
2015-676, 32,Mariel-ZAGUNIS-6783,33, 29, USA, Left, Sabre ,Olena-KRAVATSKA-19403,26, None, UKRAINE, Right, Sabre , V/15,  D/10
2015-676, 32,Olena-VORONINA-16021,28, 92, UKRAINE, Right, Sabre ,Rajin-LEE-16435,29, 58, KOREA, Right, Sabre , V/15,  D/14
2015-676, 32,Yana-EGORIAN-25208,25, 6, RUSSIA, Left, Sabre ,Jiyeon-SEO-25157,25, 191, KOREA, Right, Sabre , V/15,  D/11
2015-676, 32,Anne_Elizabeth-STONE-14935,28, 10, USA, Right, Sabre ,Anna-LIMBACH-12054,29, 20, GERMANY, Right, Foil , D/8,  V/15
2015-676, 32,Ekaterina-DYACHENKO-5767,31, None, RUSSIA, Right, Sabre ,Chiara-MORMILE-26677,23, 76, ITALY, Left, Sabre , V/15,  D/9
2015-676, 32,Loreta-GULOTTA-9786,31, 48, ITALY, Right, Sabre ,Sabina-MIKINA-14957,31, 169, AZERBAIJAN, Left, Sabre , V/15,  D/11
2015-676, 32,Ibtihaj-MUHAMMAD-22258,33, None, USA, Right, Sabre ,Cecilia-BERDER-15536,29, 4, FRANCE, Right, Sabre , D/13,  V/15
2015-676, 32,Malgorzata-KOZACZUK-10286,30, 38, POLAND, Left, Sabre ,Dagmara-WOZNIAK-9199,30, 9, USA, Left, Sabre , D/10,  V/15
2015-676, 32,Sofya-VELIKAYA-9993,33, 2, RUSSIA, Right, Sabre ,Sara-BALZER-29003,23, 127, FRANCE, Left, Sabre , V/15,  D/2
2015-676, 32,Alexandra-SHATALOVA-21810,27, None, RUSSIA, Right, Sabre ,Chen-SHEN-27545,28, None, CHINA, Right, Sabre , D/14,  V/15
2015-676, 32,Alina-KOMASHCHUK-21499,25, 18, UKRAINE, Right, Sabre ,Evgenia-KARBOLINA-30550,24, None, RUSSIA, Right, Sabre , V/15,  D/13
2015-676, 32,Rossy-FELIX_LARA-21164,29, 140, DOMINICAN REPUBLIC, Right, Sabre ,Jiyeon-KIM-18881,30, 8, KOREA, Left, Sabre , D/1,  V/15
2015-676, 32,Aleksandra-SOCHA-5471,36, 40, USA, Right, Sabre ,Araceli-NAVARRO-7739,29, 24, SPAIN, Right, Sabre , V/15,  D/9
2015-676, 32,Anna-MARTON-26354,23, 3, HUNGARY, Right, Sabre ,Dina-GALIAKBAROVA-21815,27, 88, RUSSIA, Right, Sabre , D/7,  V/15
